name,born,died,geography,picture,wikipedia_url,non_person
George Washington,1732,1799,USA,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Gilbert_Stuart_Williamstown_Portrait_of_George_Washington.jpg/220px-Gilbert_Stuart_Williamstown_Portrait_of_George_Washington.jpg,https://en.wikipedia.org/wiki/George_Washington,
Wolfgang Amadeus Mozart,1756,1791,Austria,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Croce-Mozart-Detail.jpg/250px-Croce-Mozart-Detail.jpg,https://en.wikipedia.org/wiki/Wolfgang_Amadeus_Mozart,
Napoléon Bonaparte,1769,1821,France,https://www.biographyonline.net/images/150/Napoleon.jpg,https://en.wikipedia.org/wiki/Napoleon,
Simón Bolívar,1783,1830,Venezuela,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Simon_Bolivar.jpg/220px-Simon_Bolivar.jpg,https://en.wikipedia.org/wiki/Sim%C3%B3n_Bol%C3%ADvar,
Abraham Lincoln,1809,1865,USA,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Abraham_Lincoln_O-77_matte_collodion_print.jpg/220px-Abraham_Lincoln_O-77_matte_collodion_print.jpg,https://en.wikipedia.org/wiki/Abraham_Lincoln,
Charles Darwin,1809,1882,England,https://www.biographyonline.net/wp-content/uploads/2014/05/charles-darwin2.jpg,https://en.wikipedia.org/wiki/Charles_Darwin,
Karl Marx,1818,1883,Germany,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Karl_Marx_001.jpg/220px-Karl_Marx_001.jpg,https://en.wikipedia.org/wiki/Karl_Marx,
Queen Victoria,1819,1901,England,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Queen_Victoria_by_Bassano.jpg/220px-Queen_Victoria_by_Bassano.jpg,https://en.wikipedia.org/wiki/Queen_Victoria,
Louis Pasteur,1822,1895,France,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Louis_Pasteur%2C_foto_av_F%C3%A9lix_Nadar_Crisco_edit.jpg/220px-Louis_Pasteur%2C_foto_av_F%C3%A9lix_Nadar_Crisco_edit.jpg,https://en.wikipedia.org/wiki/Louis_Pasteur,
Leo Tolstoy,1828,1910,Russia,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/L.N.Tolstoy_Prokudin-Gorsky.jpg/220px-L.N.Tolstoy_Prokudin-Gorsky.jpg,https://en.wikipedia.org/wiki/Leo_Tolstoy,
Thomas Edison,1847,1931,USA,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Thomas_Edison2.jpg/220px-Thomas_Edison2.jpg,https://en.wikipedia.org/wiki/Thomas_Edison,
Oscar Wilde,1854,1900,Ireland,https://www.biographyonline.net/wp-content/uploads/2014/05/oscar_wilde2.jpg,https://en.wikipedia.org/wiki/Oscar_Wilde,
Woodrow Wilson,1856,1924,USA,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/President_Wilson_1919-bw.tif/lossless-page1-220px-President_Wilson_1919-bw.tif.png,https://en.wikipedia.org/wiki/Woodrow_Wilson,
Mahatma Gandhi,1869,1948,India,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Portrait_Gandhi.jpg/220px-Portrait_Gandhi.jpg,https://en.wikipedia.org/wiki/Mahatma_Gandhi,
Adolf Hitler,1889,1945,Germany,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Hitler_portrait_crop.jpg/220px-Hitler_portrait_crop.jpg,https://en.wikipedia.org/wiki/Adolf_Hitler,
Mao Zedong,1893,1976,China,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Mao_Tse-tung_-_panoramio.jpg/220px-Mao_Tse-tung_-_panoramio.jpg,https://en.wikipedia.org/wiki/Mao_Zedong,
Nelson Mandela,1918,2013,South Africa,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Nelson_Mandela-2008_%28edit%29.jpg/220px-Nelson_Mandela-2008_%28edit%29.jpg,https://en.wikipedia.org/wiki/Nelson_Mandela,
Giuseppe Mazzini,1805,1872,Italy,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Giuseppe_Mazzini.jpg/220px-Giuseppe_Mazzini.jpg,https://en.wikipedia.org/wiki/Giuseppe_Mazzini,
Giuseppe Garibaldi,1807,1882,Italy,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Giuseppe_Garibaldi_%281866%29.jpg/220px-Giuseppe_Garibaldi_%281866%29.jpg,https://en.wikipedia.org/wiki/Giuseppe_Garibaldi,
Camillo Benso - Count of Cavour,1810,1861,Italy,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Camillo_Benso_Cavour_di_Ciseri.jpg/220px-Camillo_Benso_Cavour_di_Ciseri.jpg,"https://en.wikipedia.org/wiki/Camillo_Benso,_Count_of_Cavour",
Otto von Bismarck,1815,1898,Germany,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Bundesarchiv_Bild_146-2005-0057%2C_Otto_von_Bismarck.jpg/220px-Bundesarchiv_Bild_146-2005-0057%2C_Otto_von_Bismarck.jpg,https://en.wikipedia.org/wiki/Otto_von_Bismarck,
Kaiser Wilhelm II,1859,1941,Germany,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Kaiser_Wilhelm_II_of_Germany_-_1902.jpg/220px-Kaiser_Wilhelm_II_of_Germany_-_1902.jpg,https://en.wikipedia.org/wiki/Wilhelm_II,
Czar Nicholas II,1868,1918,Russia,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/%D0%98%D0%BC%D0%BF%D0%B5%D1%80%D0%B0%D1%82%D0%BE%D1%80_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B9_II.jpg/220px-%D0%98%D0%BC%D0%BF%D0%B5%D1%80%D0%B0%D1%82%D0%BE%D1%80_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B9_II.jpg,https://en.wikipedia.org/wiki/Nicholas_II_of_Russia,
Grigori Rasputin,1869,1916,Russia,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Rasputin_PA.jpg/220px-Rasputin_PA.jpg,https://en.wikipedia.org/wiki/Grigori_Rasputin,
